,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,Abdella Battou,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,NIST,39.1316116,-77.2165406,Montgomery County,Gaithersburg,Maryland,United States
1,Abderrahim Amlou,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,NIST,39.1316116,-77.2165406,Montgomery County,Gaithersburg,Maryland,United States
2,Abderrahim Amlou,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Researcher,,,,,,
3,Abderrahim Amlou,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Researcher, NIST",,,,,,
4,Abhiroop Bhattacharya,A Residual Neural Network Approach to Transmitter Localization,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,École de technologie supérieure,45.4945155,-73.5628555,Urban agglomeration of Montreal,Montreal,Quebec,Canada
5,Abhoy Kole,Exploration of Design Alternatives for Reducing Idle Time in Shor's Algorithm: A Study on Monolithic and Distributed Quantum Systems,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,DFKI Bremen,53.1121226,8.8581684,,Bremen,Bremen,Germany
6,Abhoy Kole,Exploration of Design Alternatives for Reducing Idle Time in Shor's Algorithm: A Study on Monolithic and Distributed Quantum Systems,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Researcher,,,,,,
7,Abhoy Kole,Exploration of Design Alternatives for Reducing Idle Time in Shor's Algorithm: A Study on Monolithic and Distributed Quantum Systems,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Researcher, DFKI Bremen",,,,,,
8,Aditya Bhaskara,Bridging Data Gaps: Enhancing Wireless Localization with Physics-Informed Data Augmentation,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,University of Utah,40.7628137,-111.8368719,Salt Lake County,Salt Lake City,Utah,United States
9,Aditya Bhaskara,Exploring adversarial attacks on learning-based localization,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,University of Utah,40.7628137,-111.8368719,Salt Lake County,Salt Lake City,Utah,United States
10,Aditya Bhaskara,Learning-based techniques for transmitter localization: A case study on model robustness,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,University of Utah,40.7628137,-111.8368719,Salt Lake County,Salt Lake City,Utah,United States
